title,author,description,clean_desc,genres,desc_length,rating,num_ratings,reviews,isbn
Pure Cop,Connie Fletcher,"The author of What Cops Know ventures into the largely unexplored territory known only to law enforcement's highly specialized units--Bomb and Arson, Hostage and Terrorist, Major Accident Investigation, Crime Scene Investigation, and Prostitution--to present a fascinating oral history that places the cops themselves center stage as they relate cases, anecdotes, and findings.",the author of what cops know ventures into the largely unexplored territory known only to law enforcements highly specialized unitsbomb and arson hostage and terrorist major accident investigation crime scene investigation and prostitutionto present a fascinating oral history that places the cops themselves center stage as they relate cases anecdotes and findings,"['Crime', 'True Crime', 'Nonfiction', 'Mystery', 'Crime']",365,3.89,71,9,312928580
The Canary Murder Case,"S.S. Van Dine,Willard Huntington Wright","1927. Illustrated with scenes from the Paramount photoplay. Around 1925 Willard Huntington Wright, critic and writer, underwent a long illness. As part of his convalescence he wrote The Benson Murder Case, in which he created the character of Philo Vance, a master sleuth. So that the book would not be compared to his other works he adopted the pseudonym S.S. Van Dine. By the time The Canary Murder Case, the second in the series was published, Van Dine had become a best seller. He wrote a total of twelve Philo Vance novels. The book begins: In the offices of the Homicide Bureau of the Detective Division of the New York Police Department, on the third floor of the Police Headquarters building in Center Street, there is a large steel filing cabinet; and within it, among thousands of others of its kind, there reposes a small green index-card on which is typed: ODell, Margaret. 184 West 71st Street. Sept. 10. Murder: Strangled about 11 p.m. Apartment ransacked. Jewelry stolen. Body found by Amy Gibson, maid.",1927 illustrated with scenes from the paramount photoplay around 1925 willard huntington wright critic and writer underwent a long illness as part of his convalescence he wrote the benson murder case in which he created the character of philo vance a master sleuth so that the book would not be compared to his other works he adopted the pseudonym ss van dine by the time the canary murder case the second in the series was published van dine had become a best seller he wrote a total of twelve philo vance novels the book begins in the offices of the homicide bureau of the detective division of the new york police department on the third floor of the police headquarters building in center street there is a large steel filing cabinet and within it among thousands of others of its kind there reposes a small green indexcard on which is typed odell margaret 184 west 71st street sept 10 murder strangled about 11 pm apartment ransacked jewelry stolen body found by amy gibson maid,"['Mystery', 'Fiction', 'Mystery', 'Crime', 'Mystery', 'Detective', 'Classics', 'New York', 'Thriller', 'Mystery Thriller', 'Mystery', 'Golden Age Mystery', 'Mystery', 'Noir', 'Literature', 'American']",983,3.66,563,74,684164043
Widow's Tears,Susan Wittig Albert,"After losing her husband, five children, housekeeper, and beautiful home in the Galveston Hurricane of 1900, Rachel Blackwood rebuilt her home, and later died there, having been driven mad with grief.,In present-day Texas, Claire, the grandniece of Rachelâ€™s caretaker, has inherited the house and wants to turn it into a bed-and-breakfast. But she is concerned that itâ€™s haunted, so she calls in her friend Rubyâ€”who has the gift of extrasensory perceptionâ€”to check it out.,While Ruby is ghost-hunting, China Bayles walks into a storm of trouble in nearby Pecan Springs. A half hour before she is to make her nightly deposit, the Pecan Springs bank is robbed and a teller is shot and fatelly shot.,Before she can discover the identity of the killers, China must go to the Blackwood house to discuss urgent business with Ruby. And as she is drawn into the mystery of the haunted house, China opens the door on some very real dangerâ€¦",after losing her husband five children housekeeper and beautiful home in the galveston hurricane of 1900 rachel blackwood rebuilt her home and later died there having been driven mad with griefin presentday texas claire the grandniece of rachels caretaker has inherited the house and wants to turn it into a bedandbreakfast but she is concerned that its haunted so she calls in her friend rubywho has the gift of extrasensory perceptionto check it outwhile ruby is ghosthunting china bayles walks into a storm of trouble in nearby pecan springs a half hour before she is to make her nightly deposit the pecan springs bank is robbed and a teller is shot and fatelly shotbefore she can discover the identity of the killers china must go to the blackwood house to discuss urgent business with ruby and as she is drawn into the mystery of the haunted house china opens the door on some very real danger,"['Mystery', 'Fiction', 'Mystery', 'Cozy Mystery', 'Historical', 'Historical Fiction', 'Fantasy', 'Paranormal', 'Thriller', 'Mystery Thriller', 'Fantasy', 'Supernatural', 'Adult', 'Paranormal', 'Ghosts', 'Contemporary']",898,3.96,1849,318,425255727
"Book, Line and Sinker",Jenn McKinlay,"â€œAvastâ€ in pirate speak means what?*,Answering tricky reference questions like this one provides plenty of excitement for library director Lindsey Norris. But when a shocking murder is committed in her cozy coastal town of Briar Creek, Connecticut, the question of who did it must be answered before an innocent man gets the book thrown at him...,Lindsey is enjoying her second year in Briar Creek as the library director, meeting with the crafternoon club, and happily dating tour boat captain Mike Sullivan. But when a salvage company arrives in town to dig up treasure buried on Pirate Island over three hundred years ago, the locals are torn between protecting the island and welcoming the publicity. ,In spite of the squabbling, Charlie Peyton, Lindseyâ€™s downstairs neighbor, takes a job with the salvage company. But when Trudi Hargrave, the local tourism director who hired the company, is found murdered at the excavation site, Charlie becomes the chief suspect. To help him, Lindsey must do some digging of her own before the real killer buries the truth for goodâ€¦,*stop",avast in pirate speak means whatanswering tricky reference questions like this one provides plenty of excitement for library director lindsey norris but when a shocking murder is committed in her cozy coastal town of briar creek connecticut the question of who did it must be answered before an innocent man gets the book thrown at himlindsey is enjoying her second year in briar creek as the library director meeting with the crafternoon club and happily dating tour boat captain mike sullivan but when a salvage company arrives in town to dig up treasure buried on pirate island over three hundred years ago the locals are torn between protecting the island and welcoming the publicity in spite of the squabbling charlie peyton lindseys downstairs neighbor takes a job with the salvage company but when trudi hargrave the local tourism director who hired the company is found murdered at the excavation site charlie becomes the chief suspect to help him lindsey must do some digging of her own before the real killer buries the truth for goodstop,"['Mystery', 'Mystery', 'Cozy Mystery', 'Fiction', 'Audiobook', 'Romance', 'Adult Fiction', 'Adult', 'Mystery', 'Crime', 'Contemporary', 'Writing', 'Books About Books']",1048,3.95,4563,464,425251764
Salvage and Demolition,"Tim Powers,J.K. Potter","Salvage And Demolition,, the astonishing new 21,000 word novella by Tim Powers, begins when Richard Blanzac, a San Francisco-based rare book dealer, opens a box of consignment items and encounters the unexpected. There, among an assortment of literary rarities, he discovers a manuscript in verse, an Ace Double Novel, and a scattering of very old cigarette butts. These commonplace objects serve as catalysts for an extraordinary - and unpredictable - adventure.,Without warning, Blanzac finds himself traversing a ""circle of discontinuity"" that leads from the present day to the San Francisco of 1957. Caught up in that circle are an ancient Sumerian deity, a forgotten Beat-era poet named Sophie Greenwald, and an apocalyptic cult in search of the key to absolute nonexistence. With unobtrusive artistry, Powers weaves these elements into something strange and utterly compelling. The resulting story is at once a romance, a thriller, and the kind of intricately constructed time travel story that only the author of ,The Anubis Gates, - that quintessential time travel classic - could have written. Ingenious, affecting, and endlessly inventive, ,Salvage and Demolition, is a compact gem from the pen of a modern master, a man whose singular creations never fail to dazzle and delight.",salvage and demolition the astonishing new 21000 word novella by tim powers begins when richard blanzac a san franciscobased rare book dealer opens a box of consignment items and encounters the unexpected there among an assortment of literary rarities he discovers a manuscript in verse an ace double novel and a scattering of very old cigarette butts these commonplace objects serve as catalysts for an extraordinary and unpredictable adventurewithout warning blanzac finds himself traversing a circle of discontinuity that leads from the present day to the san francisco of 1957 caught up in that circle are an ancient sumerian deity a forgotten beatera poet named sophie greenwald and an apocalyptic cult in search of the key to absolute nonexistence with unobtrusive artistry powers weaves these elements into something strange and utterly compelling the resulting story is at once a romance a thriller and the kind of intricately constructed time travel story that only the author of the anubis gates that quintessential time travel classic could have written ingenious affecting and endlessly inventive salvage and demolition is a compact gem from the pen of a modern master a man whose singular creations never fail to dazzle and delight,"['Fantasy', 'Science Fiction', 'Science Fiction', 'Time Travel', 'Fiction', 'Novella', 'Fantasy', 'Urban Fantasy', 'Science Fiction Fantasy', 'Mystery', 'Contemporary', 'Short Stories']",1244,3.86,829,128,159606515X
If Fried Chicken Could Fly,Paige Shelton,"At Gram's Country Cooking School, Betts and Gram are helping students prepare the perfect dishes for the Southern Missouri Show-Down, the cook-off that draws the first of the summer visitors. Everything is going smoothly until they discover the body of local theater owner Everett Morningside in the school's supply closet, and Everett's widow points an accusatory finger at Gram. Now, Betts has to dig deep into Broken Rope's history to find the modern-day killer-before the last piece of chicken is served...",at grams country cooking school betts and gram are helping students prepare the perfect dishes for the southern missouri showdown the cookoff that draws the first of the summer visitors everything is going smoothly until they discover the body of local theater owner everett morningside in the schools supply closet and everetts widow points an accusatory finger at gram now betts has to dig deep into broken ropes history to find the modernday killerbefore the last piece of chicken is served,"['Mystery', 'Mystery', 'Cozy Mystery', 'Fantasy', 'Paranormal', 'Fiction', 'Paranormal', 'Ghosts', 'Romance', 'Thriller', 'Mystery Thriller', 'Fantasy', 'Supernatural', 'Food and Drink', 'Food', 'Suspense']",493,3.85,1309,200,425245853
The Silenced,Brett Battles,"Professional â€œcleanerâ€ Jonathan Quinn has a new client and an odd job: find and remove the remains of a body hidden twenty years ago inside the walls of a London building, before the building is demolished.,But Quinn and his team are being watched. Suddenly caught in the cross fire between two dangerous rivals, Quinn must unravel the identity of the body and why it still poses so great a threat even in death. Because a plot stretching from the former Soviet Union to Hong Kong, from Paris to London, from Los Angeles to Maine, is rapidly falling apart. And Quinn hasnâ€™t been hired just to tie up loose endsâ€”he is one.",professional cleaner jonathan quinn has a new client and an odd job find and remove the remains of a body hidden twenty years ago inside the walls of a london building before the building is demolishedbut quinn and his team are being watched suddenly caught in the cross fire between two dangerous rivals quinn must unravel the identity of the body and why it still poses so great a threat even in death because a plot stretching from the former soviet union to hong kong from paris to london from los angeles to maine is rapidly falling apart and quinn hasnt been hired just to tie up loose endshe is one,"['Fiction', 'Thriller', 'Mystery', 'Thriller', 'Mystery Thriller', 'Action', 'Spy Thriller', 'Espionage', 'Thriller', 'Spy Thriller', 'Suspense', 'Mystery', 'Crime', 'Audiobook']",605,4.25,2282,111,440245672
The Hot Country,Robert Olen Butler,"From the Pulitzer Prize and National Magazine Award-winning Robert Olen Butler comes his very first crime novel, an epic historical tale of war, love, intrigue, and espionage. Christopher Marlowe Cobb, known as â€œKitâ€, is an intrepid American newspaper war correspondent who travels to Mexico in 1914 to report on the countryâ€™s civil war, the American invasion of Vera Cruz, and the controversial presidency of Victoriano Huerta, El Chacal (The Jackal). Covering the war in enemy territory and sweltering heat, Cobb falls in love with Luisa, a beautiful young Mexican laundress, who is not as innocent as she seems.,While investigating a German ammunition ship docked in the marina, Cobb finds himself fired upon by unknown assailants, then witnesses a priest being shot with marksman-like precision right in the cross the holy man wears around his neck. Cobb employs a young pickpocket to help him find out the identity of the sniper and, more importantly, why important German officials are coming into the city in the middle of the night from the ship at the port. Soon Cobb finds himself wrapped in a web of secrets that could change the fate of myriad world leaders, redefine the destiny of two continents, and end his life at any moment ,An action-packed chronicle of passion and war, Butlerâ€™s powerful crime-fiction debut is a thriller not to be missed, from a writer who is a true master of his craft.",from the pulitzer prize and national magazine awardwinning robert olen butler comes his very first crime novel an epic historical tale of war love intrigue and espionage christopher marlowe cobb known as kit is an intrepid american newspaper war correspondent who travels to mexico in 1914 to report on the countrys civil war the american invasion of vera cruz and the controversial presidency of victoriano huerta el chacal the jackal covering the war in enemy territory and sweltering heat cobb falls in love with luisa a beautiful young mexican laundress who is not as innocent as she seemswhile investigating a german ammunition ship docked in the marina cobb finds himself fired upon by unknown assailants then witnesses a priest being shot with marksmanlike precision right in the cross the holy man wears around his neck cobb employs a young pickpocket to help him find out the identity of the sniper and more importantly why important german officials are coming into the city in the middle of the night from the ship at the port soon cobb finds himself wrapped in a web of secrets that could change the fate of myriad world leaders redefine the destiny of two continents and end his life at any moment an actionpacked chronicle of passion and war butlers powerful crimefiction debut is a thriller not to be missed from a writer who is a true master of his craft,"['Historical', 'Historical Fiction', 'Fiction', 'Mystery', 'Thriller', 'Historical', 'Adventure', 'Mystery', 'Historical Mystery', 'Suspense', 'Westerns', 'War']",1370,3.61,768,151,802120466
Nightingale's Lament,Simon R. Green,"In the Nightside, the hidden heart of London where it's always 3 AM, Detective John Taylor must find an elusive singer known as The Nightingale. Her silken voice has inexplicably lured many a fan to suicide--and Taylor is determined to stop her, before the whole neighborhood falls under her trance. But to catch the swift-winged Nightingale, he'll have to hear the deadly music--and survive.",in the nightside the hidden heart of london where its always 3 am detective john taylor must find an elusive singer known as the nightingale her silken voice has inexplicably lured many a fan to suicideand taylor is determined to stop her before the whole neighborhood falls under her trance but to catch the swiftwinged nightingale hell have to hear the deadly musicand survive,"['Fantasy', 'Urban Fantasy', 'Fantasy', 'Mystery', 'Horror', 'Fantasy', 'Paranormal', 'Fiction', 'Fantasy', 'Supernatural', 'Science Fiction', 'Mystery', 'Detective', 'Science Fiction Fantasy']",378,3.97,11593,317,441011632
Beta,Rachel Cohn,"Elysia is created in a laboratory, born as a sixteen-year-old girl, an empty vessel with no life experience to draw from. She is a Beta, an experimental model of a teenage clone. She was replicated from another teenage girl, who had to die in order for Elysia to exist. ,Elysiaâ€™s purpose is to serve the inhabitants of Demesne, an island paradise for the wealthiest people on earth. Everything about Demesne is bioengineered for perfection. Even the air induces a strange, euphoric high, which only the islandâ€™s workersâ€”soulless clones like Elysiaâ€”are immune to. ,At first, Elysiaâ€™s life is idyllic and pampered. But she soon sees that Demesneâ€™s human residents, who should want for nothing, yearn. But for what, exactly? She also comes to realize that beneath the islandâ€™s flawless exterior, there is an underÂ­current of discontent among Demesneâ€™s worker clones. She knows she is soulless and cannot feel and should not careâ€”so why are overpowering sensations cloudÂ­ing Elysiaâ€™s mind? ,If anyone discovers that Elysia isnâ€™t the unfeeling clone she must pretend to be, she will suffer a fate too terrible to imagine. When her one chance at happiÂ­ness is ripped away with breathtaking cruelty, emotions sheâ€™s always had but never understood are unleashed. As rage, terror, and desire threaten to overwhelm her, Elysia must find the will to survive. ,The first in a dazzlingly original science fiction series from best-selling author Rachel Cohn, ,Beta ,is a haunting, unforgettable story of courage and love in a corÂ­rupted world.Praise for ,Beta,:""A terrific premise that is equally well executed...Readers can only hope [the sequel] will be as thrilling as this series kickoff.""--,Los Angles Times ",elysia is created in a laboratory born as a sixteenyearold girl an empty vessel with no life experience to draw from she is a beta an experimental model of a teenage clone she was replicated from another teenage girl who had to die in order for elysia to exist elysias purpose is to serve the inhabitants of demesne an island paradise for the wealthiest people on earth everything about demesne is bioengineered for perfection even the air induces a strange euphoric high which only the islands workerssoulless clones like elysiaare immune to at first elysias life is idyllic and pampered but she soon sees that demesnes human residents who should want for nothing yearn but for what exactly she also comes to realize that beneath the islands flawless exterior there is an undercurrent of discontent among demesnes worker clones she knows she is soulless and cannot feel and should not careso why are overpowering sensations clouding elysias mind if anyone discovers that elysia isnt the unfeeling clone she must pretend to be she will suffer a fate too terrible to imagine when her one chance at happiness is ripped away with breathtaking cruelty emotions shes always had but never understood are unleashed as rage terror and desire threaten to overwhelm her elysia must find the will to survive the first in a dazzlingly original science fiction series from bestselling author rachel cohn beta is a haunting unforgettable story of courage and love in a corrupted worldpraise for betaa terrific premise that is equally well executedreaders can only hope the sequel will be as thrilling as this series kickofflos angles times,"['Young Adult', 'Science Fiction', 'Dystopia', 'Science Fiction', 'Romance', 'Fantasy', 'Fiction', 'Mystery', 'Young Adult', 'Teen', 'Futuristic', 'Apocalyptic', 'Post Apocalyptic']",1625,3.55,7501,946,1423157192
A Cold Day in Paradise,Steve Hamilton,"Other than the bullet lodged near his heart, former Detroit cop Alex McKnight thought he had put the nightmare of his partnerâ€™s death and his own near-fatal injury behind him. After all, the man convicted of the crimes has been locked away for years. But in the small town of Paradise, Michigan, where McKnight has traded his badge for a cabin in the woods, a murderer with the same unmistakable trademarks appears to be back. McKnight canâ€™t understand who else would know the intimate details of the old murders. And it seems like itâ€™ll be a frozen day in Hell before McKnight can unravel truth from deception in a town thatâ€™s anything but Paradise.",other than the bullet lodged near his heart former detroit cop alex mcknight thought he had put the nightmare of his partners death and his own nearfatal injury behind him after all the man convicted of the crimes has been locked away for years but in the small town of paradise michigan where mcknight has traded his badge for a cabin in the woods a murderer with the same unmistakable trademarks appears to be back mcknight cant understand who else would know the intimate details of the old murders and it seems like itll be a frozen day in hell before mcknight can unravel truth from deception in a town thats anything but paradise,"['Mystery', 'Fiction', 'Mystery', 'Crime', 'Thriller', 'Thriller', 'Mystery Thriller', 'Suspense', 'Mystery', 'Detective', 'Audiobook', 'Adult', 'Mystery', 'Murder Mystery']",635,3.78,8897,761,312969198
Halloween II,"Jack  Martin,Dennis Etchison","It is Halloween night in Haddonfield, Illinois. Six gunshots pierce the silence of this normally quiet town. Neighborhood kids trick-or-treating on the street stare as a man plunges off a balcony. A doctor from the county mental hospital rushes from the house. He has followed his patient, who escaped from the institution, back to Haddonfield, where fifteen years earlier he brutally murdered his own sister. The demented young man has already killed three teenagers this evening. Tonight's massacre has only begun!",it is halloween night in haddonfield illinois six gunshots pierce the silence of this normally quiet town neighborhood kids trickortreating on the street stare as a man plunges off a balcony a doctor from the county mental hospital rushes from the house he has followed his patient who escaped from the institution back to haddonfield where fifteen years earlier he brutally murdered his own sister the demented young man has already killed three teenagers this evening tonights massacre has only begun,"['Horror', 'Holiday', 'Halloween', 'Fiction', 'Media Tie In', 'Suspense']",502,3.83,247,31,
A Question of Identity,Susan         Hill,"A particularly unpleasant murder, that of a very old woman in a housing project, rocks the town of Lafferton. The murderer has left a distinctive ""sign"" on the body and at the scene of crime. A couple of weeks later, a similar murder occurs, and a month or so later, so does another.,Initial investigations discover that the mysterious ""sign"" left on the body was the calling card of a suspect who was charged with several murders in the northwest of the country, tried but acquitted on the grounds of insufficient evidence. All indications suggest that this person has simply vanished. Or is he right under their noses? Simon Serrailler is obliged to make delve deeper and scratch out answers, in this addictive mystery of surpassing darkness by the bestselling Susan Hill.",a particularly unpleasant murder that of a very old woman in a housing project rocks the town of lafferton the murderer has left a distinctive sign on the body and at the scene of crime a couple of weeks later a similar murder occurs and a month or so later so does anotherinitial investigations discover that the mysterious sign left on the body was the calling card of a suspect who was charged with several murders in the northwest of the country tried but acquitted on the grounds of insufficient evidence all indications suggest that this person has simply vanished or is he right under their noses simon serrailler is obliged to make delve deeper and scratch out answers in this addictive mystery of surpassing darkness by the bestselling susan hill,"['Mystery', 'Mystery', 'Crime', 'Fiction', 'European Literature', 'British Literature', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Mystery', 'Detective', 'Emergency Services', 'Police', 'Mystery', 'Murder Mystery', 'Thriller']",755,3.97,4349,362,1468300504
Animal,K'wan,"Kâ€™wan, one of this generationâ€™s most talented and gritty writers, delivers his bloodiest story yet. ,Animal, follows the infamous fugitive from Kâ€™wanâ€™s best-known Hood Rat Series on a revenge mission from the rugged streets of Puerto Rico to the scene of the original crime, Harlem, NY.,""One bullet changed everything."", ,Three years after narrowly escaping a one-way trip to the gas chamber, the fugitive known only as Animal finds himself drawn back to the scene of the crime, Harlem, NY., ,Throughout his entire time in exile the only thing that kept Animal going was the thought that he would one day be reunited with his soulmate, Gucci, but one bullet changed everything. When his enemies tried to murder Gucci, they crossed the lineâ€”so he vows to cross them all., ,While Gucci teeters between life and death, Animal sets out on a bloody mission fueled by love and orchestrated by bulletsâ€”there would be no more innocents. Alliances are formed and secrets uncovered while Animal wages his personal war on the streets of Harlem with the end result revealing one great truthâ€”he is only a small piece in a much greater puzzle.",kwan one of this generations most talented and gritty writers delivers his bloodiest story yet animal follows the infamous fugitive from kwans bestknown hood rat series on a revenge mission from the rugged streets of puerto rico to the scene of the original crime harlem nyone bullet changed everything three years after narrowly escaping a oneway trip to the gas chamber the fugitive known only as animal finds himself drawn back to the scene of the crime harlem ny throughout his entire time in exile the only thing that kept animal going was the thought that he would one day be reunited with his soulmate gucci but one bullet changed everything when his enemies tried to murder gucci they crossed the lineso he vows to cross them all while gucci teeters between life and death animal sets out on a bloody mission fueled by love and orchestrated by bulletsthere would be no more innocents alliances are formed and secrets uncovered while animal wages his personal war on the streets of harlem with the end result revealing one great truthhe is only a small piece in a much greater puzzle,"['Urban', 'Fiction', 'Mystery', 'Crime', 'Cultural', 'African American', 'Thriller', 'Animals']",1090,4.58,1919,158,1936399253
The Inventor and the Tycoon: A Gilded Age Murder and the Birth of Moving Pictures,Edward Ball,"From the National Book Award-winning author of ,Slaves in the Family,, a riveting true life/true crime narrative of the partnership between the murderer who invented the movies and the robber baron who built the railroads., Â , One hundred and thirty years ago Eadweard Muybridge invented stop-motion photography, anticipating and making possible motion pictures. He was the first to capture time and play it back for an audience, giving birth to visual media and screen entertainments of all kinds. Yet the artist and inventor Muybridge was also a murderer who killed coolly and meticulously, and his trial is one of the early instances of a media sensation. His patron was railroad tycoon (and former California governor) Leland Stanford, whose particular obsession was whether four hooves of a running horse ever left the ground at once. Stanford hired Muybridge and his camera to answer that question. And between them, the murderer and the railroad mogul launched the age of visual media., Â Â Â  ,Set in California during its frontier decades, ,The Tycoon and the Inventor, interweaves Muybridge's quest to unlock the secrets of motion through photography, an obsessive murder plot, and the peculiar partnership of an eccentric inventor and a driven entrepreneur. A tale from the great American West, this popular history unspools a story of passion, wealth, and sinister ingenuity.",from the national book awardwinning author of slaves in the family a riveting true lifetrue crime narrative of the partnership between the murderer who invented the movies and the robber baron who built the railroads one hundred and thirty years ago eadweard muybridge invented stopmotion photography anticipating and making possible motion pictures he was the first to capture time and play it back for an audience giving birth to visual media and screen entertainments of all kinds yet the artist and inventor muybridge was also a murderer who killed coolly and meticulously and his trial is one of the early instances of a media sensation his patron was railroad tycoon and former california governor leland stanford whose particular obsession was whether four hooves of a running horse ever left the ground at once stanford hired muybridge and his camera to answer that question and between them the murderer and the railroad mogul launched the age of visual media set in california during its frontier decades the tycoon and the inventor interweaves muybridges quest to unlock the secrets of motion through photography an obsessive murder plot and the peculiar partnership of an eccentric inventor and a driven entrepreneur a tale from the great american west this popular history unspools a story of passion wealth and sinister ingenuity,"['History', 'Nonfiction', 'Crime', 'True Crime', 'Biography', 'Mystery', 'Crime', 'North American Hi...', 'American History', 'Science', 'Culture', 'Film', 'Art', 'Photography', 'Literature', '19th Century']",1343,3.22,1339,268,385525753
"Who Killed Harlowe Thrombey? (Choose Your Own Adventure, #9)",Edward Packard,"The reader, as a young detective, investigates a murder mystery. By choosing specific pages, the reader determines the outcome of the plot.",the reader as a young detective investigates a murder mystery by choosing specific pages the reader determines the outcome of the plot,"['Gamebooks', 'Choose Your Own Adventure', 'Fiction', 'Mystery', 'Childrens', 'Games', 'Gamebooks', 'Young Adult', 'Sports and Games', 'Games', 'Thriller']",134,3.73,558,43,942545184
Double Identity,Diane Burke,"Sophie Clarkston is shocked to learn that she ,isn't, who she thinks. Her birth certificate is forged. Her nameâ€”made up. And her widowed ""father"" is suddenly missing, leaving behind a heartbreaking letter asking forgiveness. Desperate for answers, Sophie turns to private investigator Cain Garrison in tiny Promise, Virginia. But the moment they leave his office, her life is threatened and her home ransacked. Who is after her? And who, exactly, ,is, she? With questions about his own past, Cain vows to help Sophie uncover the truth. Before someone comes out of the shadows to keep it hidden forever.",sophie clarkston is shocked to learn that she isnt who she thinks her birth certificate is forged her namemade up and her widowed father is suddenly missing leaving behind a heartbreaking letter asking forgiveness desperate for answers sophie turns to private investigator cain garrison in tiny promise virginia but the moment they leave his office her life is threatened and her home ransacked who is after her and who exactly is she with questions about his own past cain vows to help sophie uncover the truth before someone comes out of the shadows to keep it hidden forever,"['Category Romance', 'Love Inspired', 'Romance', 'Mystery', 'Christian', 'Love Inspired', 'Love Inspired Suspense', 'Christian Fiction', 'Romance', 'Christian Romance', 'Inspirational', 'Fiction']",577,4.1,174,18,373444354
The Midnight Man,Paul Doherty,"As Chaucer's pilgrims shelter for the night, it's the physician's turn to enthral his fellow travellers with a terrifying tale. When Brother Anselm and his novice Stephen are summoned to the Church of St Michael's, Candlewick, to perform an exorcism, the demons that plague the church appear to have been summoned by an infamous sorcerer known as the Midnight Man. But what has he unwittingly unleashed - and why? Is there any link to the disappearance of young women in the area? Before Anselm can get to the truth, he must first uncover the identity of the mysterious Midnight Man.",as chaucers pilgrims shelter for the night its the physicians turn to enthral his fellow travellers with a terrifying tale when brother anselm and his novice stephen are summoned to the church of st michaels candlewick to perform an exorcism the demons that plague the church appear to have been summoned by an infamous sorcerer known as the midnight man but what has he unwittingly unleashed and why is there any link to the disappearance of young women in the area before anselm can get to the truth he must first uncover the identity of the mysterious midnight man,"['Historical', 'Historical Fiction', 'Mystery', 'Historical Mystery', 'Mystery', 'Historical', 'Medieval', 'Historical', 'Literature', '14th Century', 'Fiction', 'Mystery', 'Crime']",567,3.73,172,26,1780290268
Kimmie66,Aaron Alexovich,"Written and illustrated by Aaron Alexovich Navigate the neon-lit corridors of an online VR lair in this high-velocity, dangerous quest to locate the world's first digital girl, written and illustrated by Aaron Alexovich (Serenity Rose, TV's Invader Zim and Avatar: The Last Airbender)! Telly Kade is pretty much your typical 23rd century teen. She's got impossible hair, misfit friends, a big sloppy brother...and a pair of VR goggles that lets her live among the vampires - online, at least. She's also got a problem: a suicide note from her best friend, Kimmie66. But if Kimmie is really dead, why is she still all over the net? Is it a ghost, prank, or something much creepier? To find out, Telly will have to dig through every dark corner of the internet and uncover the truth behind the mysterious double life and death of the girl she thought she knew best..",written and illustrated by aaron alexovich navigate the neonlit corridors of an online vr lair in this highvelocity dangerous quest to locate the worlds first digital girl written and illustrated by aaron alexovich serenity rose tvs invader zim and avatar the last airbender telly kade is pretty much your typical 23rd century teen shes got impossible hair misfit friends a big sloppy brotherand a pair of vr goggles that lets her live among the vampires online at least shes also got a problem a suicide note from her best friend kimmie66 but if kimmie is really dead why is she still all over the net is it a ghost prank or something much creepier to find out telly will have to dig through every dark corner of the internet and uncover the truth behind the mysterious double life and death of the girl she thought she knew best,"['Sequential Art', 'Graphic Novels', 'Sequential Art', 'Comics', 'Young Adult', 'Science Fiction', 'Fiction', 'Young Adult', 'Teen', 'Mystery', 'Sequential Art', 'Manga', 'Young Adult', 'Coming Of Age', 'Fantasy']",830,3.45,640,72,1401203736
Ransom River,Meg Gardiner,"A stunningly complex and atmospheric crime novel from Edgar Awardâ€“winning author Meg Gardiner, ,Ransom River ,features a deeply flawed, compelling heroine, a murder trial, and the long-unsolved mystery it exposes,., Rory Mackenzie is juror number seven on a high-profile murder case in her hometown of Ransom River, California. Itâ€™s a place she vowed never to visit again, after leaving behind its surfeit of regret and misfortune and the specter of a troubled past that threatened to disturb the townâ€™s peaceful faÃ§ade., Brilliant yet guarded, Rory has always felt like an outsider. She retreated into herself when both her career aspirations and her love affair with a childhood friend, undercover cop Seth Colder, were destroyed in a tragic accident., While most of the town is focused on the tense and shocking circumstances of the trial, Roryâ€™s return to Ransom River dredges up troubling memories from her childhood that she can no longer ignore. But in the wake of a desperate attack on the courthouse, Rory realizes that exposing these dark skeletons has connected her to an old case that was never solved, and bringing the truth to light just might destroy her., Departing from her popular series novels, Meg Gardiner has gone deeper than ever into the utterly convincing lives and compelling pasts of her characters. ,Ransom River, is an intimate crime thriller with a dark mystery at its heartâ€”one that will keep readers breathless until the very last page.",a stunningly complex and atmospheric crime novel from edgar awardwinning author meg gardiner ransom river features a deeply flawed compelling heroine a murder trial and the longunsolved mystery it exposes rory mackenzie is juror number seven on a highprofile murder case in her hometown of ransom river california its a place she vowed never to visit again after leaving behind its surfeit of regret and misfortune and the specter of a troubled past that threatened to disturb the towns peaceful faade brilliant yet guarded rory has always felt like an outsider she retreated into herself when both her career aspirations and her love affair with a childhood friend undercover cop seth colder were destroyed in a tragic accident while most of the town is focused on the tense and shocking circumstances of the trial rorys return to ransom river dredges up troubling memories from her childhood that she can no longer ignore but in the wake of a desperate attack on the courthouse rory realizes that exposing these dark skeletons has connected her to an old case that was never solved and bringing the truth to light just might destroy her departing from her popular series novels meg gardiner has gone deeper than ever into the utterly convincing lives and compelling pasts of her characters ransom river is an intimate crime thriller with a dark mystery at its heartone that will keep readers breathless until the very last page,"['Mystery', 'Thriller', 'Fiction', 'Thriller', 'Mystery Thriller', 'Suspense', 'Romance', 'Romantic Suspense', 'Adult', 'Mystery', 'Crime', 'Adult Fiction', 'Drama']",1429,3.7,1613,218,525952853
